Terrain,Mean Forward yaw,Std Forward yaw,P-value (vs flat),P-value (vs predefined),U-statistic (vs flat),U-statistic (vs predefined)
flat,0.8292361826582844,0.29012465442552093,,0.9855144855144855,,38.0
predefined_flat,0.5241802875761137,0.09328591210720644,,,,
amputate_L3,0.46368443504031714,0.08173693001426233,0.9940059940059941,0.1111111111111111,5.0,6.0
predefined_amputate_L3,0.5886427717006013,0.15025991868115912,,,,
amputate_R2,0.6606554103527961,0.1676086499771569,0.9265734265734266,0.015873015873015872,12.0,2.0
predefined_amputate_R2,0.8731602223593203,0.13959288506823603,,,,
terrain,0.5708262502811142,0.10508118379136751,0.97002997002997,0.047619047619047616,9.0,4.0
predefined_terrain,0.7068831784870575,0.09830253390201513,,,,
amputate_R2_L2,0.37189700860194536,0.06887378581092363,0.9940059940059941,0.5,5.0,12.0
predefined_amputate_R2_L2,0.3949516823648575,0.12858788818426234,,,,
amputate_R3_L3,0.4354345732130107,0.08919697380997914,0.994005994005994,0.0021645021645021645,7.0,0.0
predefined_amputate_R3_L3,0.9182260818940515,0.2418877021062429,,,,
