Date,Terrain,Trial,Forward Velocities,Exponent,Yaw Rate
11-Sep,predefined_amputate_R2_L2,1,0.011444593205875939,,0.41574571193632176
11-Sep,predefined_amputate_R2_L2,2,-0.013150043140010153,,0.583022771250294
11-Sep,predefined_amputate_R2_L2,3,0.01574765069058944,,0.2586805131801434
11-Sep,predefined_amputate_R2_L2,4,0.022884162291795903,,0.42622497309728763
11-Sep,predefined_amputate_R2_L2,5,0.015219477528424289,,0.29108444236024084
21-Aug,flat,1,0.37055792073228444,,0.954253640966046
21-Aug,flat,4,0.20558529883932494,,0.6569918372921307
21-Aug,flat,5,0.22917710834891256,,0.9068680759215514
21-Aug,flat,6,0.22245200810640856,,0.5724740866926946
21-Aug,terrain,1,0.2087123113372905,,0.6099729155999721
21-Aug,terrain,2,0.14118929376446412,,0.5323058522639377
21-Aug,terrain,3,0.21499813799125525,,0.5789284689717432
21-Aug,terrain,4,0.16220264553997163,,0.7097243524727692
21-Aug,terrain,5,0.14846671374865528,,0.42319966209714915
23-Aug,flat,1,0.23546364631865696,,0.9500720439222993
23-Aug,flat,2,0.2777623552693992,,0.8051204660021788
24-Aug,amputate_R2,1,0.154407119681333,,0.5332326678144647
24-Aug,amputate_R2,3,0.10091009963827854,,0.6135835338704992
24-Aug,amputate_R2,4,0.22284670177144053,,0.8158697325472806
24-Aug,amputate_R2,5,0.11851559549888449,,0.48369307944155604
24-Aug,amputate_R2,6,0.16074271880819715,,0.8568980380901798
27-Aug,amputate_L3,2,0.18226873929212126,,0.5308926624072917
27-Aug,amputate_L3,3,0.1853499915059418,,0.5708544507750086
27-Aug,amputate_L3,4,0.09909390811302769,,0.38590983183950117
27-Aug,amputate_L3,5,-0.13883742870786375,,0.41360437295933666
27-Aug,amputate_L3,6,0.06948990367388426,,0.4171608572204477
27-Aug,amputate_R2_L2,1,0.10713126032648067,,0.35255364061774314
27-Aug,amputate_R2_L2,2,0.0934352737456342,,0.3453952067537052
27-Aug,amputate_R2_L2,3,0.08422006531315857,,0.3375389417014181
27-Aug,amputate_R2_L2,5,0.059266141502452074,,0.3298368178684084
27-Aug,amputate_R2_L2,6,0.08042772459571937,,0.49416043606845184
27-Aug,amputate_R3_L3,1,0.09027979169188724,,0.38351146401965175
27-Aug,amputate_R3_L3,2,0.12026109450985921,,0.4639464445919741
27-Aug,amputate_R3_L3,3,0.13310816851858312,,0.5811063871675904
27-Aug,amputate_R3_L3,4,0.07726857823912157,,0.44852943494686554
27-Aug,amputate_R3_L3,5,0.09645571236006863,,0.4212323839169947
27-Aug,amputate_R3_L3,6,0.09227764487932633,,0.3142813246349881
29-Aug,predefined_amputate_L3,1,-0.009011668242180212,,0.5516378138059722
29-Aug,predefined_amputate_L3,2,0.053229817354516644,,0.772660599458426
29-Aug,predefined_amputate_L3,3,0.04275331959360669,,0.5825979750095761
29-Aug,predefined_amputate_L3,4,0.05472061749505416,,0.668338138517262
29-Aug,predefined_amputate_L3,5,0.056167513450522975,,0.36797933171177
29-Aug,predefined_amputate_R2,1,0.058409630110303076,,0.9675798484989052
29-Aug,predefined_amputate_R2,2,0.0933388404016696,,0.8854918897923781
29-Aug,predefined_amputate_R2,3,0.060241303836344864,,0.9375923134934406
29-Aug,predefined_amputate_R2,4,0.0674255706300465,,0.945799671784239
29-Aug,predefined_amputate_R2,5,0.06152935775623925,,0.6293373882276386
29-Aug,predefined_amputate_R3_L3,1,0.020721798730025134,,1.2907054993316767
29-Aug,predefined_amputate_R3_L3,2,-0.001931885170147677,,0.7346916901353909
29-Aug,predefined_amputate_R3_L3,3,0.012291384055769515,,1.0319801470700165
29-Aug,predefined_amputate_R3_L3,4,-0.036112132553725855,,0.729064533069507
29-Aug,predefined_amputate_R3_L3,5,0.01457023024144673,,0.8046885398636658
29-Aug,predefined_flat,1,0.13495819737517548,,0.5887938872865233
29-Aug,predefined_flat,2,0.09714309487233058,,0.3674828108488192
29-Aug,predefined_flat,3,0.15876715621057688,,0.541068698286207
29-Aug,predefined_flat,4,0.14224290287972807,,0.5232576909178692
29-Aug,predefined_flat,5,0.17206561464772993,,0.6002983505411493
29-Aug,predefined_terrain,1,0.029981464366668657,,0.5534736430908391
29-Aug,predefined_terrain,2,0.023319048209360493,,0.7534007865367087
29-Aug,predefined_terrain,3,0.024837097111882058,,0.7843558213410409
29-Aug,predefined_terrain,4,-0.00042837245457311005,,0.6644945644715593
29-Aug,predefined_terrain,5,-0.03674596353157876,,0.7786910769951396
5-Aug,flat,1,0.312953527645317,,1.0849482871260745
5-Aug,flat,2,0.3664717451229282,,1.2497317095451344
9-Aug,flat,1,0.1375209873342742,,0.2826654964564496
